apparent_age,count_debiased,count_original,percentage_debiased,percentage_original
elderly,,8.0,,4.232804232804233
middle-age,6.0,179.0,3.1746031746031744,94.70899470899471
young,183.0,2.0,96.82539682539682,1.0582010582010581
