race,count_debiased,count_original,percentage_debiased,percentage_original
asian,16.0,1.0,8.040201005025125,0.5025125628140703
black,130.0,21.0,65.32663316582915,10.552763819095478
indian,19.0,1.0,9.547738693467336,0.5025125628140703
white,34.0,176.0,17.08542713567839,88.44221105527639
