race,count_debiased,count_original,percentage_debiased,percentage_original
asian,2.0,,1.0050251256281406,
black,101.0,20.0,50.753768844221106,10.050251256281408
indian,82.0,5.0,41.20603015075377,2.512562814070352
white,14.0,174.0,7.035175879396985,87.43718592964824
