race,count_debiased,count_original,percentage_debiased,percentage_original
asian,1.0,,0.5025125628140703,
black,84.0,19.0,42.21105527638191,9.547738693467336
indian,83.0,2.0,41.70854271356784,1.0050251256281406
white,31.0,178.0,15.577889447236181,89.44723618090453
